"country","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","cfc_income","cfc_exemption","thin_capitalization_rules"
"","Participation Exemption","","","Withholding Taxes","","","Tax Treaties","International Tax Regulations","","",""
"Country","Dividend Exemption","Capital Gains Exemption","Country Limitations","Dividend Withholding Tax","Interest Withholding Tax","Royalties Withholding Tax","Number of Tax Treaties","Controlled Foreign Corporation Rules","Controlled Foreign Corporation Rules: Income","Controlled Foreign Corporation Rules: Exemptions","Interest Deduction Limitations"
"Australia","100.0%","100.0%","None","30.0%","10.0%","30.0%","44","Yes","Passive","CFC exempt if passes the active income test and narrower rules apply if located in a “listed” country","1.5:1 debt-to-equity ratio (15:1 for financial institutions) applies"
"Austria","100.0%","100.0%","None","27.5%","0.0%","20.0%","89","Yes","Passive","CFC with substantive economic activities exempted","Informal 4:1 debt-to-equity ratio applies"
"Belgium","100.0%","100.0%","None","30.0%","30.0%","30.0%","95","Yes","All income associated with non-genuine arrangements","None","Interest deductions limited to the higher of €3 million or 30% of EBITDA
5:1 debt-to-equity ratio applies to intragroup loans
1:1 debt-to-equity ratio applies to receivables from shareholders or directors, managers, and liquidators"
"Canada","100.0%","50.0%","Countries with a tax treaty or Tax Information Exchange Agreement","25.0%","25.0%","25.0%","94","Yes","Passive","Multiple rules may exempt CFC from taxation","1.5:1 debt-to-equity ratio applies"
"Chile","0.0%","0.0%","N/A","35.0%","35.0%","30.0%","33","Yes","Passive","None","3:1 debt-to-equity ratio applies
A surtax for excessive-indebtedness can apply"
"Czech Republic","100.0%","100.0%","EU member states and EEA member states or double tax treaty","15.0%","15.0%","15.0%","89","Yes","Passive","CFC with substantive economic activities exempted","Interest deductions limited to the higher of CZK 80 million or 30% of EBITDA
4:1 debt-to-equity ratio (6:1 debt-to-equity ratio for certain financial services companies) applies"
"Denmark","100.0%","100.0%","EU member states and EEA member states or double tax treaty","27.0%","22.0%","22.0%","75","Yes","All Income","Foreign subsidiaries are exempt if less than 1/3 of their income is financial income","4:1 debt-to-equity ratio applies
Interest deductions are limited to 2.7% of assets
Interest deduction limited to 30% of EBITDA
Other rules can apply"
"Estonia","100.0%","100.0%","EU member states and EEA member states and Switzerland","0.0%","0.0%","10.0%","58","Yes","All income associated with non-genuine arrangements","CFC exempt if profits below €750,000 or passive income below €75,000","Interest deductions limited to the higher of €3 million or 30% of EBITDA"
"Finland","100.0%","100.0%","EU member states and EEA member states or double tax treaty","20.0%","0.0%","20.0%","76","Yes","All Income","CFC exempt if i) located in EU or EEA and not an artificial arrangement; ii) industrial, manufacturing, and shipping business; or iii) Finland has a double-tax treaty with the foreign country (excluding tax treaty countries mentioned in a ""black list"")","Interest deductions limited to 25% of EBITDA
Net interest expenses between non-related parties limited to €3 million"
"France","95.0%","88.0%","Black-list countries are excluded","28.0%","0.0%","28.0%","122","Yes","All Income","CFC exempt if located in EU and not an artificial arrangement, or if CFC carries out trading or manufacturing activity","Interest deductions limited to the higher of €3 million or 30% of EBITDA
Different limits apply to related-party debt"
"Germany","95.0%","95.0%","None","26.4%","0.0%","15.8%","96","Yes","Passive","CFC exempt if located in EU or EEA and not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million"
"Greece","100.0%","100.0%","EU member states","5.0%","15.0%","20.0%","57","Yes","Passive","CFC exempt if located in EU or EEA country with exchange of information agreement and not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million"
"Hungary","100.0%","100.0%","None","0.0%","0.0%","0.0%","81","Yes","All income associated with non-genuine arrangements","CFC exempt if i) real economic activity; ii) below certain profit threshold and ratio; or iii) located in country with treaty allowing for an exemption","Interest deductions limited to the higher of €3 million or 30% of EBITDA"
"Iceland","100.0%","100.0%","None","20.0%","12.0%","20.0%","45","Yes","All Income","CFC exempt if located in EEA countries or has a double-tax treaty with Iceland and not an artificial arrangement","Interest deductions limited to 30% of EBITDA
Rule does not apply if total interest paid does not exceed ISK 100 million 
Other exemptions can apply"
"Ireland","0.0%","100.0%","EU member states and tax treaty countries","25.0%","20.0%","20.0%","73","Yes","All income associated with non-genuine arrangements","CFC exempt if i) below certain profit and income thresholds; ii) transfer pricing rules apply; or iii) passes the essential purpose test","None
However, in specific cases, interest can be reclassified as a dividend"
"Israel","0.0%","0.0%","N/A","30.0%","23.0%","23.0%","56","Yes","Passive","None","None"
"Italy","95.0%","95.0%","Black-list countries are excluded","26.0%","26.0%","22.5%","100","Yes","All Income","CFC with substantive economic activities exempted","Interest deductions limited to 30% of EBITDA"
"Japan","95.0%","0.0%","None","20.0%","20.0%","20.0%","69","Yes","All Income","Various exemptions can apply","3:1 debt-to-equity ratio (2:1 for particular repo transactions) applies
Interest deductions limited to 20% of adjusted income"
"Korea","0.0%","0.0%","N/A","22.0%","22.0%","22.0%","93","Yes","All Income","CFC rules don't apply to active income if CFC has fixed facilities engaged in business in the foreign country","2:1 debt-to-equity ratio (6:1 for financial institutions) applies
Interest deductions limited to 30% of EBITDA (financial institutions exempt)"
"Latvia","100.0%","100.0%","Black-list countries are excluded","0.0%","0.0%","0.0%","61","Yes","All income associated with non-genuine arrangements","CFC exempt if profits below €750,000 or passive income below €75,000 and CFC is not based or incorporated in a tax haven","4:1 debt-to-equity ratio applies for deduction up to €3 million (certain financial institutions exempt)
Interest deductions limited to 30% of EBITDA for deduction exceeding €3 million (certain financial institutions exempt)"
"Lithuania","100.0%","100.0%","Black-list countries are excluded","15.0%","10.0%","10.0%","54","Yes","Passive","CFC exempt if country included in white list and not receiving special tax treatment","4:1 debt-to-equity ratio applies
Interest deductions limited to €3 million or 30% of EBITDA
Rule does not apply if entity's debt-to-equity ratio is not (or at most 2 percentage-points) lower than the group-consolidated ratio"
"Luxembourg","100.0%","100.0%","None","15.0%","0.0%","0.0%","82","Yes","All income associated with non-genuine arrangements","CFC exempt if i) not an artificial arrangement or ii) accounting profits below €750,000 or less than 10% of operating costs","Informal 85:15 debt-to-equity ratio applies
Interest deductions limited to 30% of EBITDA if deduction exceeds €3 million (financial institutions exempt)"
"Mexico","0.0%","0.0%","N/A","10.0%","35.0%","35.0%","59","Yes","All Income","None","Interest deductions limited to 30% of EBITDA if deduction exceeds MXN 20 million"
"Netherlands","100.0%","100.0%","None","15.0%","0.0%","0.0%","97","Yes","Passive","CFC exempt if not an artificial arrangement","Interest deductions limited to the higher of €1 million or 30% of EBITDA"
"New Zealand","100.0%","100.0%","None","30.0%","15.0%","15.0%","40","Yes","Passive","Limited exemption for certain Australian CFCs","Numerous restrictions on debt-to-equity ratio apply"
"Norway","97.0%","100.0%","Black-list countries are excluded","25.0%","0.0%","0.0%","87","Yes","All Income","CFC exempt if located in EEA country and not an artificial arrangement or located in tax treaty country and not mainly passive income","Interest deductions limited to 25% of EBITDA if deduction exceeds NOK25 million"
"Poland","100.0%","0.0%","EU member states and EEA member states and Switzerland","19.0%","20.0%","20.0%","85","Yes","All Income","CFC exempt if not an artificial arrangement","Interest deductions limited to 30% of EBITDA if deduction exceeds PLN 3 million"
"Portugal","100.0%","100.0%","Black-list countries are excluded","25.0%","25.0%","25.0%","77","Yes","All Income","CFC exempt if located in EU and EEA countries and not an artificial arrangement
Other exemptions can apply","Interest deductions limited to the higher of €1 million or 30% of EBITDA"
"Slovak Republic","100.0%","100.0%","Countries with a tax treaty or Tax Information Exchange Agreement","35.0%","19.0%","19.0%","70","Yes","All income associated with non-genuine arrangements","None","Interest deductions limited to 25% of EBITDA (financial institutions exempted)"
