"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"SE","SWE","Sweden",2014,12,74.7801491109202,9,74.619378738284,23,57.298406045775,24,49.8791191022153,8,77.8761086912897,7,79.6778947487007
"SE","SWE","Sweden",2015,12,74.5984051376137,10,72.3166579210963,25,58.1790272838998,23,51.6160264950515,8,77.9162997285231,8,80.1042503909305
"SE","SWE","Sweden",2016,13,74.2973969775694,10,73.0267997891821,24,58.1037613744015,22,48.170865152531,8,78.1717113705919,8,81.6764434695983
"SE","SWE","Sweden",2017,13,72.6402401326612,10,73.0215597545431,25,57.744706705665,20,51.6680426222764,8,77.542245440125,10,81.2838599332426
"SE","SWE","Sweden",2018,13,73.380841134172,10,74.0139308935937,25,56.041372086688,22,53.8632049042526,8,76.1595043182033,10,81.2574587363188
"SE","SWE","Sweden",2019,13,75.257134460609,7,75.303484333119,24,55.1072807338365,22,52.8401230397778,8,76.1512606780472,10,85.2260863963188
"SE","SWE","Sweden",2020,12,74.9621352563171,9,73.0759770233881,22,58.4078584385616,22,52.6058913310264,9,76.5195607558006,10,85.0146768483049
"SE","SWE","Sweden",2021,11,74.8620010070021,8,73.5598307247248,20,61.2948314726655,22,53.7990991012365,9,76.4041491694531,9,86.174942760554
"SE","SWE","Sweden",2022,12,74.786061698508,8,74.2385746664165,20,61.9535656709438,22,51.1429069499665,9,76.1279733661664,9,85.1177224751223
"SE","SWE","Sweden",2023,11,73.686592444097,8,74.3580474011693,20,61.9757044389192,25,52.1796432076083,9,76.0897130835992,10,83.8995228990593
"SE","SWE","Sweden",2024,13,73.1935446497614,6,72.2656405579876,19,63.1352154100523,24,53.1070817988513,9,75.8904796122694,13,76.7403075925009
"SE","SWE","Sweden",2025,11,76.0586232398347,6,75.3081827331031,19,62.7281541115662,26,50.7729690218352,8,75.8228224349051,13,80.2774034730773
