"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"SI","SVN","Slovenia",2014,16,71.3998159792614,5,77.7629619495131,13,78.6032706596111,25,49.2734356321698,24,59.8443931843626,22,63.9609702007508
"SI","SVN","Slovenia",2015,21,68.9669638665616,5,76.1703239419339,14,77.1399268938629,27,45.0787106117683,30,54.7574696375992,17,65.130984957134
"SI","SVN","Slovenia",2016,23,67.5734761204584,5,77.1895815053536,14,72.6794670420249,29,41.2719774497374,29,55.1308401239999,18,67.7945352961978
"SI","SVN","Slovenia",2017,22,65.8084820209536,8,72.9448970993763,14,75.7465349572343,28,44.8441219110855,29,54.9564470076713,19,67.7073787332608
"SI","SVN","Slovenia",2018,19,68.8034971470466,6,74.3858455668354,9,89.1763865112165,29,47.0741620037724,26,51.609444820443,18,67.5135980318616
"SI","SVN","Slovenia",2019,24,68.0252561525593,7,75.9941799105914,15,80.8490976259589,29,46.1388429554384,26,50.878843986846,23,75.2171551141118
"SI","SVN","Slovenia",2020,20,71.2464360723975,7,74.5313699619913,10,87.9269161005432,29,46.8272666891572,27,51.1566650646462,22,75.1909897672003
"SI","SVN","Slovenia",2021,24,67.1348486060828,8,73.1164125860231,13,74.1653442089734,30,45.707668656404,26,50.9316871387591,22,75.22961688126
"SI","SVN","Slovenia",2022,20,67.9606417473634,8,74.5780923945753,12,76.7207252723208,31,41.2869692841937,24,56.0585605183892,19,75.617934586953
"SI","SVN","Slovenia",2023,18,67.3654811151073,7,75.4280380457183,12,76.2316496802803,31,43.9975353246358,24,56.043015340781,18,74.3457570011461
