"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"CO","COL","Colombia",2014,24,65.9449636823188,36,40.6817761468715,3,95.7614494482956,10,72.2276392375273,17,67.3219221534254,37,37.3665423681633
"CO","COL","Colombia",2015,34,59.9052450185802,37,32.0711504365011,3,96.7979830096096,12,72.8873593746926,32,53.1709617474873,37,37.7758335180663
"CO","COL","Colombia",2016,34,59.2263683958956,38,30.0259663053311,1,100,12,69.7112705610501,31,53.2319599835422,37,42.3422155913605
"CO","COL","Colombia",2017,36,54.6200488830819,37,32.4239547213742,4,94.8462660503827,17,60.9578304594991,31,52.4919429977514,37,41.6797219837162
"CO","COL","Colombia",2018,35,53.8452507685602,38,30.1608269492025,4,93.7703296544463,18,60.3523233905516,30,48.6349307885442,36,45.9986905048121
"CO","COL","Colombia",2019,35,59.3745172701738,37,42.5737063300892,5,89.8560938709987,18,58.7489380594832,30,48.6339394600489,35,54.3435461601334
"CO","COL","Colombia",2020,36,52.7079326884861,37,38.6780389587188,12,73.3639841574844,17,59.2290917762266,31,48.6881581570159,35,47.2452249015079
"CO","COL","Colombia",2021,36,52.0317205149819,36,38.9765347462163,12,75.6952093688227,16,60.8408568211071,29,48.8356786974567,36,47.2424276857967
"CO","COL","Colombia",2022,38,46.6062800409745,38,32.1978150349182,14,71.3009323777594,18,56.4730930179988,33,42.9241715701425,36,46.4017713836171
"CO","COL","Colombia",2023,38,45.0273463187749,38,31.5061241161768,14,70.6146542273202,18,58.2954000958444,33,42.9846311296951,37,41.6796312908781
"CO","COL","Colombia",2024,37,47.2624210329,38,31.8022269110996,13,73.3278525344149,15,60.3828178209583,33,42.5968559746157,37,41.7334797079286
"CO","COL","Colombia",2025,36,51.1355536082568,37,40.53113851128,12,74.7618892863521,15,59.0834142792134,33,42.5089606309372,37,42.7943841276227
