"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"IE","IRL","Ireland",2014,28,65.0355237779482,4,84.757780868532,36,54.2767387884913,37,32.1881383633507,21,63.07741650296,16,67.6340581378849
"IE","IRL","Ireland",2015,27,64.2011150973232,4,82.6024887785769,36,52.2087129890781,37,32.219972612401,21,62.4064419123619,15,66.9967858946628
"IE","IRL","Ireland",2016,27,63.0365005704728,4,79.8104827060346,36,49.2847196677588,37,32.6361085777995,22,62.3752100454739,15,70.0952392293124
"IE","IRL","Ireland",2017,28,61.6534491378122,4,77.3702220258636,36,50.4644162425953,37,33.8863300915094,22,62.7543706385352,14,70.8459863089595
"IE","IRL","Ireland",2018,25,63.5227373236134,4,81.5276236614235,35,56.9160729783401,35,36.6299125386069,21,60.8129621396669,15,69.6771972957737
"IE","IRL","Ireland",2019,27,64.3364802520386,4,83.5986519244235,36,61.4873487311463,35,34.844725627695,21,60.7829531997341,20,77.1927925985224
"IE","IRL","Ireland",2020,25,66.2514630242962,4,82.8956427787789,33,57.3416769195077,35,35.8118041959803,20,61.3499869958608,20,76.7916769843118
"IE","IRL","Ireland",2021,27,64.3623388772902,4,82.3391671673626,35,48.1325755923942,35,36.7027778045162,19,62.1601938074923,20,76.8677267128837
"IE","IRL","Ireland",2022,30,59.9991009239584,5,81.2634390888555,32,56.2114753893224,36,31.3646466666114,16,63.5117331932846,34,60.7924136863412
"IE","IRL","Ireland",2023,28,59.5986640216814,5,80.550666611387,32,56.457729623152,34,36.0943709222383,17,62.9874005365034,34,59.2335136091728
