"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2022,0.25,"0",75,0.884365027341364,0.338474732816403,0.737888702767901,1,0,0,0.17,1,2,0,0.511,0.55,21.751674,1.132446056,0,0,0.275,0.275,20,45454.54545,0.583095834,0,0.0964393775435903,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.666666666666667,1,0
"AU","AUS","Australia",2022,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1475,0,2,0,0,0.47,1.937535,1.496532784,0,0,0.235,0.24285714,10,52083.33333,0.505002694,1,0.842685910183763,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,45,0.333333333333333,0.5,0
"BE","BEL","Belgium",2022,0.25,"0",70,0.869865253929667,0.547953910556565,0.869865253929667,1,1,1,0.155,0,1,0,0.034,0.55574903,1.037233,1.283927928,0,0,0,0.3,21,33783.78378,0.445179046,0.5,0.576418172572189,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.333333333333333,1,0
"CA","CAN","Canada",2022,0.2612,"3",20,1,0.635714285714286,0.518965517241379,0.5,0,0,0.2125,0,1,0,0.975,0.535296,2.770956,1.22456768,0,0,0.2675,0.39344076,12.4,24000,0.481490881,0.5,1.53746844356372,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2022,0.19653352,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,0,0,0,3.319,0.4164902,3.10302,1.364197623,0,0,0,0.22285,7.7,90909.09091,0.675283623,0.5,0.0754052486038904,1,1,1,1,1,1,1,1,0,0.35,0.35,0,106,0,0.5,0
"CL","CHL","Chile",2022,0.27,"0",100,1,1,1,0.5,0,0,0.275,0,1,0,-2.23,0.40000001,19.187084,2.743078419,0,0,0.4,0.2390411,19,0,0.627446984,0.5,0.451154045715366,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,33,0.5,0.5,0
"CO","COL","Colombia",2022,0.35,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.435,0,2,0,2.251,0.38999999,65.985844,0,0,9.92,0.1,0.1,19,0,0.344342969,0.5,0.53004675991075,1,1,1,0,1,1,0,0,0,0.1,0.2,0.2,12,0.666666666666667,0.5,0
"CR","CRI","Costa Rica",2022,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,5,0,4.889,0.33445206,6.472083,1.060964624,0,31.373,0.15,0.15,13,0,0.452005904,0.5,0.222355904501785,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,3,0,1,0
"CZ","CZE","Czech Republic",2022,0.19,"2",5,0.972093023255814,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.275,3.810768,1.120401619,0,0,0,0.23,21,77519.37984,0.590285215,0.5,0.0928064487597968,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,94,0.333333333333333,1,0
"DE","DEU","Germany",2022,0.29927068,"2",60,0.847117028387074,0.391406012913837,0.869865253929667,1,0,0,0.185,0,0,1,0,0.47475,5.450095,1.111041873,1,0,0.26375,0.26375,19,29542.93058,0.52217103,0.5,0.206912866802003,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1,0
