"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2014,25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,0.12,47,1,8,0.5,14.163515,1.11433483196536,3,52,0.25,"0",0.25,20,34987.893314216,0.586919292661924,67,0,0.0899372931424187,1,1,0,0,0,1,1,1,0,0.25,0,0.2,84,0,0.5
"AU","AUS","Australia",2014,30,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,0.1425,37,1,6,0.465,2.32037,1.41658992852871,4,18,0.245,"0",0.27121,10,48730.6403375008,0.467195646824494,50,1,0.896235839368787,1,1,0,1,1,1,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2014,33.99,0,100,0.875897349190039,0.622404878792567,1.01486525392967,1,1,0,0.155,20,1,8,0.59447155,1.009416,1.19485145145329,2,40,0,"1",0.25,21,6319.04976005039,0.47635036043783,75,0.5,0.52053590080195,1,0,0,1,1,0,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2014,26.2,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,0.245,45,1,4,0.495296,10.605125,1.20067371923594,3,36,0.225,"0",0.338414,15.6,23453.725818895,0.471328728372367,50,0.5,1.55368987504222,1,1,0,0,0,1,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2014,21.148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,15,2,10,0.41752888,3.325717,1.35720004563546,7,40,0,"1",0.21135,8,63826.8268100133,0.709244541621409,8,0.5,0.0676685011082444,0,0,0,0,0,0,1,1,0,0.35,0.35,0,89,0,0.5
"CL","CHL","Chile",2014,21,100,100,0.632611659769417,0.338474732816403,0,0.5,0,1,0.315,42,1,5,0.4,10.408629,1.16232674390651,1,124.5,0.2,"0",0.24050633,19,0,0.64563394693061,124.5,0.5,0.421677427344543,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",2014,19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,0.175,53,1,5,0.311,3e-06,1.13823596841137,2,75,0.15,"1",0.15,21,67707.9535587165,0.568660600212091,102,0.5,0.0948078075718107,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2014,29.70721,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,1,-0.02,41,2,6,0.47475,5.77971,1.10363967520792,1,134,0.25,"0",0.26375,19,21297.5222109729,0.548951682292742,43,0.5,0.192714123557278,1,0,0,1,1,1,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2014,24.5,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,-0.01,27,3,6,0.55564,1.16303,1.27585324786518,1,65,0.42,"0",0.42,25,5879.07638734969,0.586333462576669,40,0.5,0.648988590465288,1,0,0,1,1,1,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
"EE","EST","Estonia",2014,21,100,100,1,1,1,1,1,1,0,20,1,7,0.1712,0.150274,1.05543707351151,0,34,0.21,"0",0,20,25581.7765656457,0.689766379494155,27,1,0.155357539789587,1,1,1,1,1,1,1,0,1,0,0,0.1,51,0.333333333333333,0
"ES","ESP","Spain",2014,30,0,18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,0,0,0.31,33,1,7,0.52,11.728847,1.12006728288016,1,90,0.27,"0",0.27,21,0,0.404118372671133,44,0,0.434246451898563,0,0,0,1,0,1,1,1,1,0.21,0.21,0.2475,85,0.333333333333333,1
"FI","FIN","Finland",2014,20,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,1,0.25,21,1,4,0.56617293,2.535029,1.26725634525034,3,48,0.32,"0",0.272,24,8589.47283647476,0.559389625588056,24,0.5,0.270867318158517,1,0,0,0,1,0,1,1,1,0.2,0,0.2,75,0.666666666666667,1
"FR","FRA","France",2014,37.9962,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,0,0.425,26,1,6,0.549345,15.274647,1.20541111655661,2,80,0.38,"0",0.44001,20,93551.0876400815,0.483041968080722,31,0.5,1.16900955417092,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2014,21,1,100,0.758823529411765,0,0.826923076923077,0,0,0,0.185,32,1,6,0.47,4.274984,1.36956332821385,1,48,0.28,"0",0.3055625,20,102850.559900547,0.425781583045022,25,0.5,1.75193415574049,1,0,0,0,1,0,1,1,0,0,0.2,0.2,123,0.666666666666667,0
"GR","GRC","Greece",2014,26,0,5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,1,0.08,78,1,6,0.4537,5.346351,1.18877741130425,1,46,0.15,"0",0.1,23,6677.54959454146,0.369131592159951,69,0,0.645562788504649,1,0,0,1,0,1,1,0,1,0.25,0.15,0.2,55,0.333333333333333,0.5
"HU","HUN","Hungary",2014,19,0,50,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,0,0.2925,35,2,8,0.345,0,1,2,146,0.16,"0",0.16,27,42328.198651231,0.522364852899303,96,0,0.205970028717699,1,0,0,0,1,1,1,1,0,0,0,0,73,0.666666666666667,0.5
"IE","IRL","Ireland",2014,12.5,3,100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,1,0.235,10,1,7,0.52,0.761985,1.46645545512611,1,40,0.33,"0",0.51,23,78844.2561518391,0.442784429671111,29,0.5,0.438944762738161,1,0,0,1,1,0,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2014,26.5,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,1,0,110,2,14,0.5,6.307592,1.82669666666845,12,60,0.27,"1",0.32,18,18611.874917961,0.641137369599031,69,0.5,1.25668309617047,1,1,0,1,1,1,0,0,1,0.3,0.25,0.25,53,0.666666666666667,0
"IS","ISL","Iceland",2014,20,0,10,0.86,0.477777777777778,0.812269350072009,0,0,1,0.24,40,1,7,0.443712,1.387967,1.27782991809342,13,60,0.2,"0",0.2,25.5,7006.49705254991,0.447203978401448,40,0,0.711129289734328,0,0,1,0,1,1,1,1,0,0.18,0.1,0.2,39,0.666666666666667,0
"IT","ITA","Italy",2014,31.29275,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,1,-0.02,39,2,10,0.472611,10.005698,1.17604855094253,1,198,0.2,"0",0.2,22,35990.6737367146,0.377536066235929,32,0,0.59399545622809,0,0,0,1,0,0,0.95,0.95,1,0.2,0.2,0.225,95,0.666666666666667,1
"JP","JPN","Japan",2014,36.99,0,7.2,0.769602272727273,0.278958448750364,0.787075165170195,0.5,0,1,0.1,102,2,13,0.510858,4.610718,1.13529597379108,3,74.5,0.204,"0",0.20315,5,88240.3441644497,0.681897463002114,22,0.5,0.793539677738131,1,0,0,1,0,1,0.95,0,0,0.2,0.2,0.2,60,0.666666666666667,0.5
"KR","KOR","Korea",2014,24.2,0.5,10,0.921720532319392,0.547953910556565,0.737888702767901,1,0,0,0.1525,82,1,8,0.41914557,8.534901,1.27028019128341,2,80,0,"1",0.35398,10,26238.6011968703,0.687992375382104,25,0,0.31024347055903,1,0,0,1,0,0,0,0,1,0.22,0.22,0.22,80,0.666666666666667,0.5
"LT","LTU","Lithuania",2014,15,0,70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,32,1,8,0.171,0.211872,1.06401224165031,2,85,0.15,NA,0.15,21,101580,0.498502446211909,58,0.5,0.176986679780507,1,0,1,1,1,1,1,1,1,0.15,0.1,0.1,49,0.333333333333333,0.5
"LU","LUX","Luxembourg",2014,29.22,0,100,0.870869546099498,0.479318672008477,0.869865253929667,1,0,0,-0.01,19,5,6,0.45,3.048602,1.36054562300372,12,14,0,"1",0.2,15,25182.6246203907,1.11024163940386,22,0.5,0.0531195278246132,1,0,0,0,1,1,1,1,0,0.15,0,0,69,0,0.5
"LV","LVA","Latvia",2014,15,0,100,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,1,0,31,1,5,0.254,0.104378,1.03892431200977,1,99,0.15,"0",0.1,21,100402,0.458705563198266,94,0.5,0.355197539295172,1,1,0,1,1,1,1,1,1,0,0.05,0.05,56,0,0.5
"MX","MEX","Mexico",2014,30,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,1,-0.01,150,1,3,0.3165,3.999949,1.27281409277894,2,38.5,0.1,"1",0.17142857,16,0,0.313908829864471,100,0.5,0.0937482506270531,1,0,0,1,1,1,0,0,1,0.1,0.4,0.4,50,1,0.5
"NL","NLD","Netherlands",2014,25,1,9,0.941064314483045,0.338474732816403,0.737888702767901,1,0,0,0.1975,22,1,7,0.81570593,1.215933,1.52272680008174,1,64,0.3,"1",0.22,21,1537.1932964077,0.515894956319228,34,0.5,0.345116335641448,0,0,0,1,1,1,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2014,27,0,100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,1,0.235,24,1,2,0.478,1.578054,1.28325734897025,1,15,0.27,"0",0.27,25,5181.61744007035,0.568554851515383,44,0.5,0.172761733530484,0,1,0,0,1,1,0.97,0.97,1,0.25,0,0,88,0.666666666666667,1
"NZ","NZL","New Zealand",2014,28,0,100,0.731914893617021,0.307142857142857,0.737888702767901,0.5,0,1,-0.015,34,1,5,0.33,1.314966,1.55172904792892,2,59,0,"1",0.06944444,15,38134.0006652947,0.928515696663064,59,1,1.257788741028,1,1,1,1,1,1,1,1,0,0.3,0.15,0.15,37,0.333333333333333,0.5
"PL","POL","Poland",2014,19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,1,0,70,1,16,0.38751185,2.416807,1.04414211778125,2,103,0.19,"0",0.19,23,77747.204225308,0.429006800457947,113,0.5,0.904697928112825,1,0,0,1,0,0,1,0,1,0.19,0.2,0.2,84,0,0.5
"PT","PRT","Portugal",2014,31.5,0,8.4,0.888411247396436,0.547953910556565,0.737888702767901,0.5,0,1,0.365,63,1,6,0.61285,15.929716,1.31993238071466,1,116,0.28,"1",0.28,23,14317.549643698,0.472447306951266,96,0.5,0.285453666128569,1,0,0,0,1,1,1,0,1,0.25,0.25,0.25,61,0.666666666666667,1
"SE","SWE","Sweden",2014,22,1.5,100,0.86,0.479318672008477,0.86,0,0,1,-0.01,50,1,4,0.5673,1.518355,1.23165647822514,1,36,0.3,"0",0.3,25,0,0.562773587723805,36,0.5,0.370813009851234,1,1,0,1,1,1,1,1,0,0.3,0,0,79,0.666666666666667,0.5
"SI","SVN","Slovenia",2014,17,0,50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,1,0.17,74,1,8,0.6105,5.390324,1.20150625479754,1,90,0,"1",0.25,22,74142.1047824595,0.579745444575139,69,0,0.216903673049185,1,0,0,1,1,1,0.95,0.475,1,0.15,0.15,0.15,53,0,0.5
"SK","SVK","Slovak Republic",2014,22,0,4,0.873879108036537,0.652728119257913,0.869865253929667,0.5,0,1,-0.01,42,1,20,0.3505,3.972201,1.12573955485278,1,62,0.22,"0",0,20,86990.532950811,0.428574651308034,103,0.5,0.197787746983662,1,1,1,0,1,1,1,0,1,0,0.19,0.19,66,0,0
"TR","TUR","Turkey",2014,20,0,5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,0,1,0.05,49,1,8,0.358,4.283921,1.18095267181411,1,80,0,"1",0.175,18,0,0.404300020123606,97,0.5,0.121289257273855,1,0,0,1,0,0,1,1,0,0.15,0.1,0.2,80,1,0.5
"US","USA","United States",2014,39.0755,2,20,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.035,87,2.4,4.6,0.486,8.305387,1.25555598066699,3.6,55,0.251,"0",0.28583863,7.2,0,0.341,33,0.5,1.55801818824914,1,0,0,0,1,1,0,0,0,0.3,0.3,0.3,66,0.333333333333333,0.5
