"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2014,0.25,"0",75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,0,0.12,0,2,0,1.051,0.5,14.163515,1.096453618,0,0,0.25,0.25,20,34987.89331,0.586919286,0,0.0913282337649062,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5,0
"AU","AUS","Australia",2014,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,0,0,0,0.465,2.32037,1.439058215,0,0,0.2325,0.27142857,10,48730.64034,0.453944444,1,0.719402688141774,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2014,0.3399,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.017,0.5839317,1.009416,1.207757537,0,0,0,0.25,21,6319.04976,0.477677753,0.5,0.53186063764287,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,0
"CA","CAN","Canada",2014,0.262,"3",20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.245,0,1,0,0.878,0.495296,8.209677,1.248186051,0,0,0.2475,0.338414,15.6,23453.72582,0.375507158,0.5,1.54870621673407,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,94,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2014,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,3.816,0.41752888,3.326679,1.37449135,0,0,0,0.21135,8,63826.82681,0.695425757,0.5,0.0612195435395502,1,1,1,1,1,1,1,1,0,0.35,0.35,0,88,0,0.5,0
"CL","CHL","Chile",2014,0.21,"100",100,0.632611659769417,0.338474732816403,0,0.5,0,0,0.295,0,1,0,4.866,0.4,10.408629,1.096569443,0,0,0.2,0.24050633,19,0,0.664812881,0.5,0.428327306675783,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,24,0,0.5,0
"CO","COL","Colombia",2014,0.34,"0",100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.31,0,5,1,0.883,0.33,11.453029,0,0,8.99,0.1,0,16,0,0.462679063,0.5,0.412846043029416,0,1,1,0,0,1,0,0,0,0.2,0.33,0.33,4,0,0.5,0
"CR","CRI","Costa Rica",2014,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,1,0,0,-0.02,0,3,0,2.289,0.22937123,2.137969,1.072959827,0,28.548,0,0.15,13,0,0.459392991,0.5,0.150760381451363,0,0,1,1,0,1,0,1,0,0.2,0.15,0.25,1,0,0,0
"CZ","CZE","Czech Republic",2014,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.175,0,0,0,0,0.15,3e-06,1.149498246,0,0,0,0.15,21,67707.95356,0.565403521,0.5,0.0918800616810772,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,81,0,0.5,0
"DE","DEU","Germany",2014,0.2970721,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0.47475,5.77971,1.096203972,1,0,0.25,0.26375,19,21297.52221,0.555258797,0.5,0.19591401085014,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,93,0.333333333333333,1,0
"DK","DNK","Denmark",2014,0.245,"0",60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,5.072,0.55564,1.16303,1.226845442,0,0,0.42,0.42,25,5879.076387,0.58308513,0.5,0.66622719497477,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,72,0.666666666666667,0.5,0
"EE","EST","Estonia",2014,0.21,"100",100,1,1,1,1,1,0,0,0,0,0,0,0.21,0.150274,1.059695166,0,0,0.21,0,20,25581.77657,0.694793703,1,0.16364460579987,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0,0,0
"ES","ESP","Spain",2014,0.3,"0",18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,0,1,0.31,0,3,0,0,0.52,11.728847,1.107576649,0,0,0.27,0.27,21,0,0.399728811,0.5,0.468337797538682,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,84,0.333333333333333,1,0
"FI","FIN","Finland",2014,0.2,"0",10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,0.17,0,0,0,0,0.57211391,2.535029,1.279349561,0,0,0.32,0.272,24,8589.472836,0.562208651,0.5,0.269080288104485,0,1,1,1,0,1,1,1,1,0.2,0,0.2,73,0.5,1,0
"FR","FRA","France",2014,0.38,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.425,0,3,1,1.105,0.55011,15.274647,1.229743549,0,0,0.38,0.44001,20,93551.08764,0.483041969,0.5,1.11776314237035,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1,0
"GB","GBR","United Kingdom",2014,0.21,"1",100,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,1,0,0,0.47,4.274984,1.352561519,0,0,0.28,0.3055625,20,102850.5599,0.434893011,0.5,1.73996559619767,0,1,1,1,0,1,1,1,0,0,0.2,0.2,121,0.5,0,0
"GR","GRC","Greece",2014,0.26,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,0,0.07,0,0,0,1.208,0.46,5.346351,1.21812743,0,0,0.15,0.1,23,6677.549595,0.371479609,0.5,0.694996431901783,0,1,1,1,1,0,1,0,1,0.25,0.15,0.2,55,0.333333333333333,0.5,0
"HU","HUN","Hungary",2014,0.19,"0",50,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.2925,0,3,0,0.014,0.345,0,1,0,0.263,0.16,0.16,27,42328.19865,0.518987868,0.5,0.205339775020412,0,1,1,1,0,0,1,1,0,0,0,0,73,0.666666666666667,0.5,0
"IE","IRL","Ireland",2014,0.125,"3",100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,0,0.235,0,1,0,0.009,0.52,0.761985,1.479095293,0,0,0.33,0.51,23,78844.25615,0.439414485,0.5,0.429691173163581,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,64,0,0,0
"IL","ISR","Israel",2014,0.265,"0",100,0.869865253929667,0.479318672008477,0.787075165170195,0.5,0,0,-0.01,0,0,0,3.39,0.5,6.307592,1.805812613,0,0,0.27,0.32,18,18611.87492,0.648400957,0.5,1.21165000271552,0,0,1,0,0,0,1,1,0,0.3,0.25,0.25,52,0.333333333333333,0,0
"IS","ISL","Iceland",2014,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0,0,0,0.24,0,1,0,3.06,0.4624,1.387967,1.311192749,0,10.357,0.2,0.2,25.5,7006.497053,0.430672145,0,0.714241506584501,1,1,0,1,0,0,1,1,0,0.18,0.1,0.2,38,0.666666666666667,0,0
"IT","ITA","Italy",2014,0.3129275,"0",80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,0,-0.02,0,1,0,5.379,0.478431,10.005698,1.165920489,0,0,0.2,0.2,22,35990.67374,0.374973056,0,0.597996823738978,0.5,1,1,0,1,1,0.95,0.95,1,0.2,0.2,0.225,95,0.666666666666667,1,0
"JP","JPN","Japan",2014,0.3462,"0.5",7.2,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.1,0,1,0,0.251,0.510858,4.610718,1.081562956,1,0,0.204,0.20315,5,88240.34416,0.686890672,0.5,0.80748440782705,0,1,1,0,1,0,0.95,0,0,0.2,0.2,0.2,0,0.666666666666667,0.5,0
