"country","incrate","progressivity","taxwedge","laborpayments","labortime","capgainsrate","divrate"
"","Ordinary Income Taxes and Payroll Taxes","","","Income Tax Complexity","","Capital Gains/Dividends",""
"Country","Top Marginal Income Tax Rate","Top Income Tax Rate Threshold (a)","Ratio of Marginal to Average Tax Wedge","Income Tax Complexity (Payments)","Income Tax Complexity (Time)","Top Marginal Capital Gains Rate (b)","Top Marginal Dividends Tax Rate (b)"
"Australia","47.0%","2.1","1.4","4","18","24.5%","24.3%"
"Austria","55.0%","23.3","1.1","3","50","27.5%","27.5%"
"Belgium","60.2%","1.1","1.3","2","40","0.0%","30.0%"
"Canada","53.5%","4.1","1.2","3","36","26.8%","39.3%"
"Chile","35.0%","7.7","1.3","1","124","35.0%","13.3%"
"Czech Republic","31.1%","0.3","1.1","2","75","15.0%","15.0%"
"Denmark","55.9%","1.3","1.3","1","65","42.0%","42.0%"
"Estonia","32.4%","0.9","1.2","0","31","20.0%","0.0%"
"Finland","58.4%","1.9","1.3","3","48","34.0%","28.9%"
"France","55.6%","14.3","1.3","2","80","30.0%","34.0%"
"Germany","47.5%","5.4","1.1","1","134","26.4%","26.4%"
"Greece","55.0%","11.0","1.2","1","46","25.0%","15.0%"
"Hungary","33.5%","0.0","1.0","2","146","15.0%","15.0%"
"Iceland","44.4%","1.2","1.3","13","60","22.0%","22.0%"
"Ireland","52.0%","1.5","1.5","1","40","33.0%","51.0%"
"Israel","50.0%","4.2","1.7","12","60","28.0%","33.0%"
"Italy","52.8%","2.7","1.2","1","169","26.0%","26.0%"
"Japan","56.1%","8.5","1.1","14","70","20.4%","20.3%"
"Korea","47.4%","11.4","1.2","2","80","0.0%","40.3%"
"Latvia","38.9%","5.2","1.1","1","80","20.0%","0.0%"
"Lithuania","24.0%","0.4","1.1","1","34","20.0%","15.0%"
"Luxembourg","47.2%","3.6","1.4","12","14","0.0%","21.0%"
"Mexico","35.0%","28.7","1.2","2","38","10.0%","17.1%"
"Netherlands","52.3%","1.4","1.3","1","64","30.0%","25.0%"
"New Zealand","33.0%","1.2","1.5","2","59","0.0%","6.9%"
"Norway","46.6%","1.6","1.2","1","15","31.7%","31.7%"
"Poland","39.9%","1.9","1.0","2","103","19.0%","19.0%"
"Portugal","58.2%","15.3","1.3","1","90","28.0%","28.0%"
"Slovak Republic","35.0%","3.4","1.1","1","62","0.0%","7.0%"
"Slovenia","61.1%","4.8","1.3","1","90","0.0%","25.0%"
"Spain","43.5%","2.4","1.2","1","84","23.0%","23.0%"
"Sweden","60.1%","1.5","1.2","1","36","30.0%","30.0%"
"Switzerland","41.7%","3.3","1.4","7","40","0.0%","21.1%"
"Turkey","45.5%","3.0","1.2","1","71","0.0%","17.5%"
"United Kingdom","47.0%","3.8","1.4","1","48","20.0%","38.1%"
"United States","46.0%","9.3","1.2","4","55","23.8%","29.3%"
"Notes:","","","","","","",""
"(a) Multiple of the average income at which the highest tax bracket applies.","","","","","","",""
"(b) After any imputation, credit, or offset.","","","","","","",""
