"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Australia",2019,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,NA,4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.2428,0.47,2.098449,1.36161255752027,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,50950.9831162029,0.495677137783973,0.970719391454096,0.333333333333333
"Austria",2019,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,NA,3,50,1,1,0.275,0,0.2,89,0,0.5,0.25,0.275,0.55,23.269194,1.1217583937524,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,37457.4389849533,0.595346920500117,0.126634842884256,0.333333333333333
"Belgium",2019,"BEL",0,100,1,1,1,21,1,8,75,0.5,1,1,1,0,0,1,0,NA,2,40,1,1,0.3,0.3,0.3,95,0,1,0.2958,0.3,0.529341,1.053602,1.25922166287196,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,31109.1533083962,0.476392998987602,0.752708531016413,0.666666666666667
"Canada",2019,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2675,NA,3,36,1,0.5,0.25,0.25,0.25,94,1,0.5,0.268,0.39344076,0.535296,4.123721,1.17806525296873,"CA",1,0.426086956521739,0.49,5,23975.8898451717,0.474503207079933,1.93611681582879,0.333333333333333
"Chile",2019,"CHL",0,100,0.5,0,1,48,1,5,123.5,1,0,1,0,1,0,0,0.35,NA,1,124.5,0,0,0.35,0.35,0.3,33,1,0.5,0.25,0.13333333,0.35,7.705643,1.25283729050685,"CL",0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.540351120860356,0.666666666666667
"Czech Republic",2019,"CZE",0,5,0.5,0,1,53,1,5,102,1,0,1,1,0,0,0,0.15,NA,2,75,1,1,0.15,0.15,0.15,89,1,0.5,0.19,0.15,0.15,0.322415,1.10576053466434,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,76296.5356413544,0.600302406645114,0.124085310155285,0.333333333333333
"Denmark",2019,"DNK",0,60,0,0,1,27,3,6,40,0.5,0,1,0,0,0,0,0.42,NA,1,65,1,1,0.27,0.22,0.22,75,1,1,0.22,0.42,0.558584,1.28641,1.30513804617432,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,6907.63633670914,0.596063795426487,0.933099745496656,0.666666666666667
"Estonia",2019,"EST",100,100,1,0,0,5,1,7,14,0,0,0,0,0,0,0,0.2,NA,0,31,1,1,0,0,0.1,58,1,1,0.2,0,0.2,0.894225,1.20692450210511,"EE",1,1,1,20,72611.8858395931,0.728150828092231,0.162259402164862,0.333333333333333
"Finland",2019,"FIN",0,10,0,0,0,18,1,4,24,0.5,0,1,1,0,0,1,0.34,NA,3,48,1,1,0.2,0,0.2,76,1,1,0.2,0.289,0.5111,1.88875,1.30610786697143,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,11062.4119155451,0.543890115085756,0.484884785684177,0.666666666666667
"France",2019,"FRA",1,50,0.5,1,1,28,1,6,31,1,1,1,1,1,0,1,0.3,NA,2,80,0.95,0.88,0.3,0,0.333,122,1,1,0.3443,0.34,0.55368,14.342621,1.25247443832651,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,103912.923981672,0.48566405924343,1.70748038132408,0.666666666666667
"Germany",2019,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,NA,1,134,0.95,0.95,0.26375,0,0.15825,96,0,1,0.29889263,0.26375,0.47475,5.377903,1.10058056727888,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,22456.2808292655,0.556567367932321,0.282001557736199,0.333333333333333
"Greece",2019,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.25,NA,1,46,1,0,0.1,0.15,0.2,57,1,1,0.28,0.15,0.55,10.989387,1.24246520483928,"GR",0.737888702767901,0.479318672008477,0.737888702767901,24,16710.6993594789,0.436878506277984,1.42059186465177,0.333333333333333
"Hungary",2019,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.15,NA,2,146,1,1,0,0,0,81,0,1,0.09,0.15,0.15,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,57601.502523673,0.567176393235143,0.406973844552963,0.333333333333333
"Iceland",2019,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.22,NA,13,60,1,1,0.2,0.12,0.2,45,0,1,0.2,0.22,0.4624,1.220591,1.27841004548958,"IS",0.86,0.602353618717047,0.812269350072009,24,14202.1555989162,0.546822043581059,1.32450050663432,0.666666666666667
"Ireland",2019,"IRL",1,100,0,1,1,12,1,7,30,0.5,0,1,1,0,0,0,0.33,NA,1,40,0,1,0.2,0.2,0.2,73,1,0,0.125,0.51,0.48,1.497499,1.46752376372534,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,92218.141398691,0.498533689864113,0.502754134930928,0.333333333333333
"Israel",2019,"ISR",0,100,0.5,1,0,110,2,14,69,1,0,0,1,0,0,0,0.28,NA,12,60,0,0,0.3,0.23,0.23,56,1,0,0.23,0.33,0.5,4.189243,1.70203840252696,"IL",0.869865253929667,0.391406012913837,0.787075165170195,17,26132.3890060412,0.632540965239364,1.58229586229205,0.666666666666667
"Italy",2019,"ITA",0,80,1,1,1,39,2,11,30,1,1,1,1,0,1,1,0.26,NA,1,169,0.95,0.95,0.26,0.26,0.225,100,1,1,0.278064,0.26,0.4723,2.660988,1.24268824305587,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,90380.9627102053,0.378756793044304,0.776039563260252,0.666666666666667
"Japan",2019,"JPN",0,5,0.5,0,1,38,3,13,21,1,0,1,1,1,1,0,0.204,NA,14,70.5,0.95,0,0.2,0.2,0.2,69,0,0.5,0.2974,0.2032,0.55945,8.523732,1.13468336003855,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,100407.568377102,0.7125070110352,1.13103595851161,0.666666666666667
"Korea",2019,"KOR",0.5,6,1,1,1,83,2,8,25,1,0,1,1,0,1,1,0,NA,2,80,0,0,0.22,0.22,0.22,93,1,1,0.275,0.4028,0.46199991,11.411545,1.24277078776333,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,34205.4862364084,0.696451079081173,0.449409802110167,0.666666666666667
"Latvia",2019,"LVA",100,100,1,0,0,22.5,1,5,66,0.5,0,0,1,0,0,0,0.2,NA,1,80,1,1,0,0,0,61,1,1,0.2,0,0.314,5.201247,1.11235837219153,"LV",1,1,1,21,79773.9207087115,0.55204813174365,0.58474524753345,0.333333333333333
"Lithuania",2019,"LTU",0,70,1,1,1,18,1,8,47,0.5,0,1,0,0,0,0,0.2,NA,1,34,1,1,0.15,0.1,0.1,54,1,1,0.15,0.15,0.15,0.410051,1.11016943750264,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,97563.0907987165,0.506629640715944,0.324300491749063,0.333333333333333
"Luxembourg",2019,"LUX",0,17,1,1,0,19,5,6,22,1,0,1,1,1,0,0,0,NA,12,14,1,1,0.15,0,0,82,0,1,0.2494,0.21,0.4578,3.601462,1.3796009484275,"LU",0.864209076145449,0.479318672008477,0.869865253929667,17,33690.3764562665,0.920716527656256,0.0619695172983627,0.333333333333333
"Mexico",2019,"MEX",0,10,1,0,1,102,1,3,100,0.5,0,1,1,0,0,0,0.1,NA,2,38.5,0,0,0.1,0.35,0.35,59,1,0.5,0.3,0.17142857,0.35,28.657892,1.22541089373791,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.144168975482718,1
"Netherlands",2019,"NLD",1,9,1,1,1,21,1,7,34,0.5,0,1,1,0,0,0,0.3,NA,1,64,1,1,0.15,0,0,97,0,1,0.25,0.25,0.5195,1.396044,1.33931976589556,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1650.19336094698,0.514299988155268,0.666350571382383,0.333333333333333
