"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Australia",2014,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.27121,0.465,2.32037,1.41658992852871,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,48730.6403375008,0.484352186885038,0.896235839368787,0.333333333333333
"Austria",2014,"AUT",0,75,1,0,1,47,1,8,67,1,0,0,1,1,1,0,0.25,"0",3,52,1,1,0.25,0,0.2,84,0,0.5,0.25,0.25,0.5,14.163515,1.11433483196536,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,34987.893314216,0.581548019729405,0.119328989665233,0
"Belgium",2014,"BEL",0,100,1,1,1,20,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.25,0.25,0.25,91,0,0.5,0.3399,0.25,0.537,1.009416,1.19485145145329,"BE",0.882216122406083,0.622404878792567,0.869865253929667,21,6319.04976005039,0.473521713334396,0.68087579649982,0
"Canada",2014,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.225,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.262,0.338414,0.495296,10.605125,1.20067371923594,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,23453.725818895,0.474896538948074,1.98904384890277,0.333333333333333
"Chile",2014,"CHL",100,100,0.5,1,0,42,1,5,124.5,1,0,1,0,1,0,0,0.2,"0",1,124.5,0,0,0.35,0.35,0.3,25,1,0.5,0.21,0.24050633,0.4,10.408629,1.16232674390651,"CL",0.632611659769417,0.338474732816403,0,19,0,0.635162131021544,0.530158774159162,0
"Czech Republic",2014,"CZE",0,5,0.5,0,1,53,1,5,102,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,83,1,0.5,0.19,0.15,0.15,0.409393,1.13823596841137,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,67707.9535587165,0.584388568795991,0.121091479857848,0
"Denmark",2014,"DNK",0,60,0,0,0,27,3,6,40,1,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.25,0.25,73,1,0.5,0.245,0.42,0.55564,1.16303,1.27585324786518,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,5879.07638734969,0.574223848972526,0.847816116645812,0.666666666666667
"Estonia",2014,"EST",100,100,1,0,0,20,1,7,27,0,0,0,0,0,0,0,0.21,"0",0,34,1,0,0,0,0.1,51,1,0,0.21,0,0.21,0.15036,1.05543707351151,"EE",1,1,1,20,25581.7765656457,0.697810319567046,0.194393896306958,0.333333333333333
"Finland",2014,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,1,0,1,0.32,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.272,0.5113,2.535029,1.26725634525034,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,8589.47283647476,0.542992338271503,0.356022502925622,0.666666666666667
"France",2014,"FRA",1,50,0.5,1,1,26,1,6,31,1,1,1,1,1,1,1,0.38,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.379962,0.44001,0.54501,15.274647,1.20541111655661,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,93551.0876400815,0.481709458465818,1.53958637398369,0.666666666666667
