"ISO_3","year","tax_wedge"
"AUS",2014,1.43905821484179
"AUT",2014,1.09645361773845
"BEL",2014,1.20775753738468
"CAN",2014,1.24818605090435
"CHE",2014,1.37449134975608
"CHL",2014,1.09656944261898
"COL",2014,0
"CRI",2014,1.0729598273334
"CZE",2014,1.1494982455684
"DEU",2014,1.09620397179002
"DNK",2014,1.22684544203184
"ESP",2014,1.10757664865188
"EST",2014,1.05969516645565
"EU22OECD",2014,1.18635809773458
"FIN",2014,1.27934956070341
"FRA",2014,1.22974354934036
"GBR",2014,1.35256151899845
"GRC",2014,1.2181274298766
"HUN",2014,1
"IRL",2014,1.47909529309448
"ISL",2014,1.31119274927109
"ISR",2014,1.80581261277672
"ITA",2014,1.16592048916528
"JPN",2014,1.08156295584319
"KOR",2014,1.17032042536795
"LTU",2014,1.06597852816577
"LUX",2014,1.37930186096313
"LVA",2014,1.04186231521335
"MEX",2014,1.23755685038611
"NLD",2014,1.46281408529124
"NOR",2014,1.29353579334581
"NZL",2014,1.51657566333512
"OECD_REP",2014,1.21646692421547
"POL",2014,1.04749361676091
"PRT",2014,1.35837888028141
"SVK",2014,1.1315867912638
"SVN",2014,1.22095144329362
"SWE",2014,1.19381191525703
"TUR",2014,1.16838072167691
"USA",2014,1.25179536706257
"AUS",2015,1.42440798506398
"AUT",2015,1.0918321235404
"BEL",2015,1.21029970007111
"CAN",2015,1.23819889307829
"CHE",2015,1.33463969632039
"CHL",2015,1.0962158410178
"COL",2015,0
"CRI",2015,1.07237359361304
"CZE",2015,1.14448685981597
"DEU",2015,1.09637751941758
"DNK",2015,1.23639737402037
"ESP",2015,1.100087896549
"EST",2015,1.05659664467061
"EU22OECD",2015,1.1920791243696
"FIN",2015,1.27973903794593
"FRA",2015,1.23126985164724
"GBR",2015,1.37144974916249
"GRC",2015,1.22660680778477
"HUN",2015,1
"IRL",2015,1.47380061626527
"ISL",2015,1.30661468480631
"ISR",2015,1.75297205312979
"ITA",2015,1.20258863894233
"JPN",2015,1.07597999577863
"KOR",2015,1.20163057443951
"LTU",2015,1.08299363752899
"LUX",2015,1.36679427462508
"LVA",2015,1.04660329015017
"MEX",2015,1.21837419938503
"NLD",2015,1.52076489975199
"NOR",2015,1.29377699895611
"NZL",2015,1.49457213175502
"OECD_REP",2015,1.21827161428434
"POL",2015,1.04430579860227
"PRT",2015,1.36745690319065
"SVK",2015,1.12822271298088
"SVN",2015,1.21683195711397
"SWE",2015,1.20339295839062
"TUR",2015,1.1559445608408
"USA",2015,1.24584614509777
"AUS",2016,1.45666927578124
"AUT",2016,1.0870029378926
"BEL",2016,1.21683582532099
"CAN",2016,1.23699499646999
"CHE",2016,1.33639240081902
"CHL",2016,1.09267151823827
"COL",2016,0
"CRI",2016,1.07303882169522
"CZE",2016,1.13960448042804
"DEU",2016,1.09659736453006
"DNK",2016,1.23479389089005
"ESP",2016,1.10695352184893
"EST",2016,1.05597333193948
"EU22OECD",2016,1.18823228575716
"FIN",2016,1.28215380591184
"FRA",2016,1.27221402759431
"GBR",2016,1.37679220551763
"GRC",2016,1.31216312077956
"HUN",2016,1
"IRL",2016,1.4949963742723
"ISL",2016,1.29119231546595
"ISR",2016,1.7122417060285
"ITA",2016,1.21179400976651
"JPN",2016,1.07173199452563
"KOR",2016,1.3242849238861
"LTU",2016,1.0780887452249
"LUX",2016,1.36672204021544
"LVA",2016,1.04188229989831
"MEX",2016,1.2311406759727
"NLD",2016,1.32013258461338
"NOR",2016,1.29988074339838
"NZL",2016,1.47622772725371
"OECD_REP",2016,1.21777985214306
"POL",2016,1.0426806657941
"PRT",2016,1.33414799149739
"SVK",2016,1.12491958352414
"SVN",2016,1.2147355215129
"SWE",2016,1.20270650277373
"TUR",2016,1.15099982891797
